,France,Spain,Japan,Italy,Australia,Norway,Canada,Switzerland,Germany,Belguim,Austria,Sweden,Netherlands,UK,ct,Mkt_RF,CrossVar,CrossSkew,CrossKur,Cste,Lag_W_Consgrowth,Lag_Term_Spread,Lag_Cay
Q1 1980,-1.2164682637999409,-1.1926255970104052,-1.2147628696399018,-1.0981960689617827,-1.1722822151910082,-1.527152616688582,-1.1781697909099176,-1.2995794957629228,-1.255438653655724,-1.3283964178800511,-1.2165667005214056,-1.1548507576230662,-1.2477638467802468,-1.1616550024946983,-0.8436979845082284,-12.9,2.7501778186730608,-0.06340658596232063,-0.060970863361831995,1,0.0213517439447808,-0.040192,0.005172593
Q2 1980,-0.5202002113805181,-0.5145050852569778,-0.5708538649877598,-0.5174689559461859,-0.4020138757373847,-0.4008686390869146,-0.461184916943148,-0.5380998126982807,-0.5263252755094735,-0.5233347515659702,-0.6334527713276087,-0.59105431789942,-0.4919317736917336,-0.48391002061778077,-2.184849056304059,3.06,6.260684058198671,0.714637975885888,0.45076001402361143,1,0.0161240502460007,-0.072849,0.0055511959999999996
Q3 1980,-0.7431784571893303,-0.665975819720285,-0.7073917703993082,-0.418997452954498,-0.6457733681706825,-0.7183653729017054,-0.6791347913487336,-0.7222297721595146,-0.7438887221607491,-0.789809594028994,-0.7607100657347718,-0.7739031270131118,-0.704209907220597,-0.6709646149548059,-0.9356480626517164,2.19,3.656046364051071,0.06589670582846628,-0.8510202323334735,1,-0.00527641380543671,0.131822,-0.013591903999999998
Q4 1980,-1.2997554653818155,-1.283632434167084,-1.285375499379429,-1.1090686243198706,-1.2884737564105202,-1.3908625672681905,-1.3461566252105457,-1.2917921187093744,-1.3374087914399717,-1.3602397523892757,-1.289210190636226,-1.1006140614786335,-1.195387412929438,-1.286638586703218,-1.8573806760572555,-4.52,3.8262515181659773,-1.0153414287540075,0.35652047429870937,1,0.00312457768375187,-0.095937,-0.016861347
Q1 1981,-1.1849371479432014,-1.1039365055083055,-1.1088654569074583,-0.8841921195947284,-1.2489752459682277,-1.315333693319415,-1.167719162831463,-1.2234738678606885,-1.1997477704110047,-1.2059875639492184,-1.261412160349134,-1.0040119657109905,-1.2300450362904334,-1.1692524206032138,-3.2603981768478483,3.56,3.7600481039687548,-0.25556485362571296,-0.8785691902123287,1,0.00168691713963894,-0.019212,-0.012252971000000001
Q2 1981,-1.659909156924137,-1.096306522459845,-1.202620173917062,-1.3959933919837533,-1.3669816349479773,-1.446391306581638,-1.3224996867692718,-1.3814077226069634,-1.268320283187427,-1.460668909067056,-1.4160260649546266,-1.193086916528706,-1.3405911469811715,-1.3027732353808816,-1.7785606862384618,-2.36,3.7904798194938745,-1.237255669425149,1.3849056178031853,1,0.000697103622491141,-0.040311,-0.0006564730000000001
Q3 1981,-1.0961339029869055,-1.237209561262352,-1.3111058009906678,-1.3714200279074864,-1.4405908054208314,-1.1549484270301666,-1.4601247030748954,-1.3392657873803262,-1.3111215493511794,-1.2471989572243147,-1.2914662753148212,-1.2307865887154017,-1.3674162460618156,-1.3530631033768994,-2.2016011745617226,-7.17,5.1668333273729266,0.19483448306772638,-0.08055321503475898,1,0.0128059197518157,-0.038752999999999996,-0.002968948
Q4 1981,-0.8356399239048188,-0.9121193988318285,-0.8230859781983043,-0.870521117893701,-0.8387748584321252,-0.8119752791092106,-0.8326023255523446,-0.8116004876235897,-0.863785830863354,-0.6323967895252957,-0.8079354462273737,-0.6824268535875405,-0.7351024543863457,-0.7270954573218312,-1.8150124347130097,-3.65,4.901798437934755,-1.3050573292091525,1.2420016110165086,1,0.00781120543850047,-0.09606100000000001,-0.005012755
Q1 1982,-0.86389997169004,-0.97597977563403,-1.0613414446149663,-0.9229583612797971,-1.2139976207769405,-1.1534131568852612,-1.1759158660305657,-0.9857506067358037,-0.9173496885025636,-0.8165374108856649,-1.030177188715625,-1.0048801060847246,-0.9309277447645727,-0.9253187224240116,-1.4120844900416298,-1.87,7.980936973738878,-0.05944866230950466,-1.1743527376588103,1,0.00252374880929687,0.09511499999999999,-0.018003848
Q2 1982,-0.9846549101228801,-0.9884265000933361,-0.9500639007231602,-1.1872031012946263,-0.9164650936007144,-0.959928830406783,-1.0824463278513043,-1.0039125946156542,-0.9991632497634368,-1.04636666518783,-1.0159950693857756,-0.9571946518117516,-0.9702896313883276,-0.9435286317208726,-1.1301925660438212,-3.09,6.2563462216235655,-0.6868305855385015,1.263598288552127,1,0.00667451857115885,-1.90000000000017e-05,-0.010536118
Q3 1982,-0.4968429132585561,-0.664264975146317,-0.5264049883295414,-0.4487638745905349,-0.4269921866915045,-0.5117055092862108,-0.33838179830563875,-0.4703763018161953,-0.4611165318896957,-0.381621386267492,-0.5150968337891035,-0.3419311457199605,-0.45283610337626734,-0.38290567561491007,-1.306142939794441,1.29,5.835446403325913,-0.06640436397329477,-0.7016864915849346,1,0.00877624943334716,-0.010020000000000001,-0.010129065999999999
Q4 1982,-0.6506249257816289,-0.5850131787938083,-0.5212761047059234,-0.6376302171847864,-0.6761482079497744,-0.6316509710352812,-0.4615755808097185,-0.5220247255091525,-0.5861763702581887,-0.6540240957954434,-0.6006651770677235,-0.31985404515220683,-0.5449525501589011,-0.6159811761959927,-0.8694498278445106,0.55,7.289493722385747,0.20133368674888644,-0.3175127754264766,1,0.00686165289185538,0.14114000000000002,-0.009341453000000001
Q1 1983,-0.44475785793569156,-0.5226319899364534,-0.6006082163460996,-0.3314673891517935,-0.546991179077634,-0.3698805700998068,-0.5366285979305961,-0.5642002666139662,-0.44552431735501064,-0.47615637873361394,-0.5646476154459529,-0.2914752275024385,-0.3956266706305175,-0.5390899882727497,-0.7849993797128768,2.82,6.475779208155741,0.07474716634915855,-0.28107425399518027,1,0.0199776553494519,0.10928099999999999,0.001620691
Q2 1983,-0.5843722757794537,-0.5924140443559428,-0.6130863072162392,-0.7598836479996215,-0.49485548392110534,-0.4343947133302911,-0.5290671198696738,-0.631818205389954,-0.6092480375762098,-0.5469177404598976,-0.6284403017011605,-0.5857930183982251,-0.5282145720752222,-0.5330348004904516,-0.5592894671954861,3.07,7.163349082905544,0.3787541298332811,-0.11094412337283499,1,0.0191568966458972,-0.009873999999999999,0.001407171
Q3 1983,-0.6397949457864522,-0.7681595801112888,-0.7023685733183049,-0.7251544460431989,-0.5851615270575368,-0.6161148916786259,-0.7311661214317822,-0.7439014736480332,-0.7685043137191478,-0.7111046222833128,-0.7689086052513645,-0.6729746655784343,-0.7124559295061286,-0.7802106746197117,-0.04377569582721356,0.91,7.066456067778381,0.2912415339426989,-1.1514248475722844,1,0.0267211128633645,-0.021159999999999998,0.009525456
Q4 1983,-0.622972656307518,-0.7392681992518546,-0.6657493876277925,-0.7444471003441229,-0.6317045306418794,-0.6804229699230366,-0.7018348627682998,-0.5852354224292946,-0.6160981291272862,-0.6653143280032112,-0.7010752781424361,-0.7398628747690501,-0.6783742800535335,-0.6696675006309838,-0.2425866113684261,-1.78,9.015879464683984,0.5489035931512508,-0.505348184791881,1,0.0339234623275697,-0.013687000000000001,0.019629272
Q1 1984,-0.6789737697754643,-0.5033938758927667,-0.5545470714776104,-0.5826347452865099,-0.7692929967580358,-0.5549267070468678,-0.7855547404947028,-0.7510028547129095,-0.741722404451767,-0.6324190720686791,-0.7293828172804289,-0.6373287075076282,-0.6358758999462464,-0.6088474474451586,-0.1678615251459081,0.63,4.174410200680376,-0.7983879266874221,-0.24760223302482087,1,0.0309065066913663,-0.017182,0.022546142
Q2 1984,-0.6913763714176548,-0.6816593069920183,-0.8425294226456561,-0.779380663442713,-0.866426255682363,-0.8361614274625868,-0.8071426074931898,-0.7619798899602737,-0.7575001468368958,-0.7612695204703144,-0.7764379718692194,-0.8561385591410806,-0.7605338865862059,-0.797533595163368,0.33484457596874656,1.82,2.9325689654617326,-0.8101259227032508,-0.5197524588680675,1,0.0338402852451134,-0.039799,0.01920593
Q3 1984,-0.7912527849850891,-0.6717394657726944,-0.8177267954356605,-0.8342596451980399,-0.7346122760903434,-0.7650458768269252,-0.7625465977460412,-0.8062142807318994,-0.7993070798530996,-0.7102774302695757,-0.8165758498527801,-0.8980408548760753,-0.6956329568677321,-0.756330149194692,0.10425523127348581,-0.8,3.464258148130178,-0.0039777158857097475,-0.43243734962900504,1,0.0306629300881608,-0.06509,0.022594949
